name,number,type,address,city,state,zip,lat,lng
CLEV,441,STATION,3201 COLUMBIA ROAD,RICHFIELD,OH,44286,41.27687492,-81.62671282
RIFD,442,SUBSTATION,3245 HENRY ROAD ,RICHFIELD,OH,44286,41.27686499,-81.62237062
ETNA,444,ANNEX,11176 NATIONAL ROAD SW,ETNA,OH,43062,39.95718638,-82.69975545
YOUN,445,STATION,12305 BAILEY COURT EAST,NORTH JACKSON,OH,44451,41.1093462,-80.8832638
NCAN,447,STATION,8495 PORT JACKSON AVE. NW,NORTH CANTON,OH,44720,40.9043996,-81.4479836
TOLX,448,ANNEX,7401 FREMONT PIKE,PERRYSBURG TOWNSHIP,OH,43551,41.5189119,-83.537002
MANS,449,STATION,515 URWIN PARKWAY,MANSFIELD,OH,44906,40.7655318,-82.6144072
NCIN,450,STATION,325 HOMAN ROAD,LEBANON,OH,45036,39.4002369,-84.2176697
CINC,452,STATION,9667 INTER-OCEAN DRIVE,CINCINNATI,OH,45246,39.313465,-84.4768173
SDAY,453,STATION,8650 BYERS ROAD,MIAMISBURG,OH,45342,39.6232672,-84.2359234
DAYT,454,STATION,795 DEER RUN ROAD,VANDALIA,OH,45377,39.90864605,-84.18398035
CHIL,456,STATION,1415 INDUSTRIAL DRIVE,CHILLICOTHE,OH,45601,39.36080206,-83.00122359
NIND,461,STATION,10301 BENNETT PARKWAY,ZIONSVILLE,IN,46077,39.93611765,-86.24738267
INDI,462,STATION,4111 PRODUCERS DRIVE,INDIANAPOLIS,IN,46218,39.80299462,-86.09421712
MUNS,463,STATION,"101 45TH STREET, UNIT 2",MUNSTER,IN,46321,41.5439834,-87.5234527
HAMM,464,STATION,1515 GOSTLIN STREET,HAMMOND,IN,46327,41.63229544,-87.49256576
INDX,465,STATION,8951 MIRABEL ROAD,INDIANAPOLIS,IN,46241,39.6811615,-86.32235023
SOBD,466,STATION,5115 DYLAN DRIVE,SOUTH BEND,IN,46628,41.7442256,-86.3313954
FTWA,468,STATION,10905 GATEWAY BLVD,NEW HAVEN,IN,46774,41.0677933,-84.9984848
KOKO,469,STATION,2360 E NORTH STREET,KOKOMO,IN,46901,40.498203,-86.126863
GRNW,472,HUB LOCAL,2157 STACIES WAY,GREENWOOD,IN,46143,39.5962061,-86.0576342
MUNX,473,ANNEX,101 45TH STREET,MUNSTER,IN,46321,41.54299908,-87.5238926
GRWD,474,HUB,2157 STACIES WAY,GREENWOOD,IN,46143,39.5962061,-86.0576342
EVAN,477,STATION,15200 HIGHWAY 41 N,EVANSVILLE,IN,47725,38.1169306,-87.5538787
TERR,478,STATION,2501 S. SYCAMORE TERRACE ST.,TERRE HAUTE,IN,47803,39.43798,-87.341958
LAFA,479,STATION,3815 DAVID HOWARTH DRIVE,LAFAYETTE,IN,47909,40.3631341,-86.8335645
PONT,480,STATION,1601 BROWN ROAD,LAKE ORION,MI,48359,42.7096295,-83.2676064
ANAR,481,STATION,6700 SOUTH STATE ROAD,SALINE,MI,48176,42.1914081,-83.7390053
DETR,482,STATION,38401 AMRHEIN ROAD,LIVONIA,MI,48150,42.37431977,-83.42243176
OKPA,483,STATION,21200 GREENFIELD ROAD,OAK PARK,MI,48237,42.44872131,-83.20047371
STHE,484,STATION,6100 SIMS DRIVE,STERLING HEIGHTS,MI,48313,42.58879093,-83.04793408
SAGI,486,STATION,3887 E WASHINGTON RD,SAGINAW,MI,48601,43.45061022,-83.87971488
BELV,487,ANNEX,41775 ECORSE ROAD,BELLEVILLE,MI,48111,42.2485172,-83.4803312
LANS,489,STATION,2290 S CANAL ROAD,LANSING,MI,48917,42.70952935,-84.66487277
KALA,490,STATION,6701 PORTAGE ROAD,PORTAGE,MI,49002,42.21944459,-85.55993852
VBRS,493,STATION,42050 ECORSE ROAD,VAN BUREN TWP,MI,48111,42.24920135,-83.454152
VBRN,494,STATION,42050 ECORSE ROAD,VAN BUREN CHARTER TWP,MI,48111,42.24920135,-83.454152
GRDR,495,STATION,3466 SHIPPERS DRIVE NW,GRAND RAPIDS,MI,49544,43.0281609,-85.7208346
CADC,496,STATION,3699 CARIBOU TRAIL,CADILLAC,MI,49601,44.2722287,-85.4788065
GAYL,497,STATION,1748 WOLVERINE PARKWAY,GAYLORD,MI,49735,45.00699955,-84.71855543
ESCA,498,STATION,2502 NORTH 30TH STREET,ESCANABA,MI,49829,45.77857715,-87.08784822
DESM,503,STATION,2900 SW BROOKSIDE DRIVE,GRIMES,IA,50111,41.682563,-93.8048125
MACI,504,STATION,1755 15TH STREET SW,MASON CITY,IA,50401,43.13739451,-93.22759498
FTDO,505,STATION,3425 MAPLE DRIVE,FORT DODGE,IA,50501,42.4990043,-94.1405012
WATL,507,STATION,2320 WEST AIRLINE HIGHWAY,WATERLOO,IA,50703,42.54205114,-92.38377635
SIOU,511,STATION,5411 AL HAYNES DRIVE,SIOUX CITY,IA,51111,42.4096774,-96.3737047
SPEN,513,STATION,1454 255TH AVE N,SPIRIT LAKE,IA,51360,43.4361825,-95.08118
DUBU,520,STATION,1590 INNOVATION DRIVE,DUBUQUE,IA,52002,42.49530344,-90.76955329
SCED,524,STATION,985 CAPITAL DRIVE SW,CEDAR RAPIDS,IA,52404,41.8869272,-91.6817066
OTTU,525,STATION,14491 TERMINAL AVENUE,OTTUMWA,IA,52501,41.10599915,-92.4369996
NMIL,530,STATION,N96 W14849 COUNTY LINE ROAD,MENOMONEE FALLS,WI,53051,43.1900942,-88.0958767
NEBL,531,STATION,16555 WEST ROGERS DRIVE,NEW BERLIN,WI,53151,43.00736799,-88.12374804
MILW,532,STATION,5300 INTERNATIONAL DRIVE,CUDAHY,WI,53110,42.951721,-87.877403
MDSN,537,STATION,7322 MANUFACTURERS DRIVE,MADISON,WI,53704,43.1617781,-89.3165356
